"Abington","Invoice Charges","127.31","1225.25","1.99","2337.64","2102.83","885.37","26.35","790.58","29.50","28.19","1178.66","32.01","8765.68","Payments","101.01","126.03","103.02","149.10","126.09","126.11","126.13","126.15","126.17","124.62","127.78","25.11","1387.32","Credits","1.01","2.02","3.03","4.04","5.05","6.06","7.07","8.08","9.09","10.10","11.11","0.00","66.66","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","Invoice Charges","240.28","132.13","3.13","2572.91","2340.64","998.91","25.71","921.65","1643.84","34.70","35.32","33.86","8983.08","Payments","102.01","127.03","105.16","148.96","127.09","127.11","127.13","127.15","127.17","127.19","127.21","25.11","1398.32","Credits","1.01","2.02","3.03","4.04","5.05","6.06","7.07","8.08","9.09","10.10","11.11","0.00","66.66","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acushnet","Invoice Charges","342.89","243.02","4.51","253.38","2575.05","15.83","15.00","1000.70","1868.48","25.14","1639.89","30.84","8014.73","Payments","103.01","128.03","107.54","148.58","128.09","118.89","118.07","147.43","128.17","128.19","128.21","25.11","1409.32","Credits","1.01","2.02","3.03","4.04","5.05","6.06","7.07","8.08","9.09","10.10","11.11","0.00","66.66","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Adams","Invoice Charges","670.85","343.65","6.76","179.98","426.34","1380.35","185.12","185.64","2273.52","194.30","2045.14","202.35","8094.00","Payments","104.01","129.03","110.79","147.33","129.09","129.11","129.13","129.15","129.17","129.19","129.21","25.11","1420.32","Credits","1.01","2.02","3.03","4.04","5.05","6.06","7.07","8.08","9.09","10.10","11.11","0.00","66.66","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Agawam","Invoice Charges","441.39","665.43","6.87","11.66","478.54","139.93","9.97","1186.65","2341.57","22.80","2110.55","30.41","7445.77","Payments","105.01","130.03","111.90","116.70","161.61","130.11","115.04","145.24","130.17","127.90","132.50","25.11","1431.32","Credits","1.01","2.02","3.03","4.04","5.05","6.06","7.07","8.08","9.09","10.10","11.11","0.00","66.66","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Alford","Invoice Charges","0.00","458.90","0.00","388.99","388.35","621.32","392.50","521.67","2966.15","407.90","2737.95","420.83","9304.56","Payments","0.00","0.00","0.00","106.04","0.00","0.00","25.06","0.00","106.09","0.00","0.00","0.00","237.19","Credits","0.00","0.00","3.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.03","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Amesbury","Invoice Charges","299.41","300.68","300.56","2013.81","2941.98","2373.39","2042.57","2292.74","2309.16","2069.44","4649.87","2097.00","23690.61","Payments","0.00","0.00","107.03","0.00","0.00","25.05","0.00","107.08","0.00","0.00","0.00","25.11","264.27","Credits","0.00","2.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.11","0.00","13.13","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Amherst","Invoice Charges","346.23","1127.05","347.14","357.82","1504.80","1038.86","365.08","709.85","839.69","372.51","622.45","376.45","8007.93","Payments","0.00","108.02","0.00","0.00","25.04","0.00","108.07","0.00","0.00","0.00","25.10","0.00","266.23","Credits","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.10","0.00","0.00","11.11","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Andover","Invoice Charges","1436.69","2304.42","1441.78","3081.57","1470.10","1927.76","1483.62","2162.65","1500.67","1504.73","1983.15","1518.52","21815.66","Payments","109.01","0.00","0.00","25.03","0.00","109.06","0.00","0.00","0.00","25.09","109.11","0.00","377.30","Credits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.09","0.00","0.00","0.00","9.09","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Aquinnah","Invoice Charges","0.00","976.89","0.00","1857.89","1626.04","18.37","17.85","460.12","941.59","23.55","23.97","23.29","5969.56","Payments","0.00","0.00","0.00","25.02","110.05","0.00","0.00","0.00","25.08","110.10","0.00","0.00","270.25","Credits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.08","0.00","0.00","0.00","0.00","8.08","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
